市町村名,総数人口,男性人口,女性人口,出生,死亡,増減数,転入,転出,世帯数
市部,"910,327 ","427,346 ","482,981 ",324 ,"1,366 ","-1,042 ","1,430 ","1,384 ","404,260 "
町村部,"250,556 ","120,049 ","130,507 ",61 ,490 ,-429 ,491 ,482 ,"104,693 "
青森市,"259,745 ","120,958 ","138,787 ",91 ,374 ,-283 ,319 ,328 ,"117,282 "
弘前市,"159,144 ","72,934 ","86,210 ",65 ,231 ,-166 ,236 ,198 ,"70,909 "
八戸市,"212,404 ","101,631 ","110,773 ",81 ,318 ,-237 ,306 ,353 ,"96,200 "
黒石市,"29,693 ","13,699 ","15,994 ",10 ,52 ,-42 ,60 ,55 ,"11,841 "
五所川原市,"47,916 ","21,595 ","26,321 ",6 ,79 ,-73 ,83 ,61 ,"20,794 "
十和田市,"57,254 ","27,143 ","30,111 ",10 ,84 ,-74 ,62 ,74 ,"25,855 "
三沢市,"37,242 ","18,701 ","18,541 ",23 ,44 ,-21 ,189 ,110 ,"17,273 "
むつ市,"49,576 ","24,026 ","25,550 ",15 ,88 ,-73 ,83 ,114 ,"23,157 "
つがる市,"28,231 ","13,093 ","15,138 ",12 ,53 ,-41 ,39 ,39 ,"10,624 "
平川市,"29,122 ","13,566 ","15,556 ",11 ,43 ,-32 ,53 ,52 ,"10,325 "
東津軽郡,"18,002 ","8,478 ","9,524 ",5 ,51 ,-46 ,31 ,26 ,"7,631 "
平内町,"9,155 ","4,337 ","4,818 ",2 ,22 ,-20 ,15 ,15 ,"3,615 "
今別町,"1,912 ",905 ,"1,007 ",0 ,12 ,-12 ,1 ,4 ,986 
蓬田村,"2,298 ","1,087 ","1,211 ",1 ,4 ,-3 ,2 ,3 ,879 
外ヶ浜町,"4,637 ","2,149 ","2,488 ",2 ,13 ,-11 ,13 ,4 ,"2,151 "
西津軽郡,"14,327 ","6,595 ","7,732 ",3 ,35 ,-32 ,27 ,12 ,"6,284 "
鰺ヶ沢町,"8,027 ","3,682 ","4,345 ",2 ,21 ,-19 ,16 ,5 ,"3,446 "
深浦町,"6,300 ","2,913 ","3,387 ",1 ,14 ,-13 ,11 ,7 ,"2,838 "
中津軽郡,"1,142 ",531 ,611 ,0 ,3 ,-3 ,3 ,0 ,413 
西目屋村,"1,142 ",531 ,611 ,0 ,3 ,-3 ,3 ,0 ,413 
南津軽郡,"28,537 ","13,220 ","15,317 ",9 ,48 ,-39 ,29 ,43 ,"10,632 "
藤崎町,"14,023 ","6,517 ","7,506 ",4 ,20 ,-16 ,16 ,13 ,"5,064 "
大鰐町,"7,664 ","3,489 ","4,175 ",2 ,14 ,-12 ,2 ,17 ,"3,070 "
田舎館村,"6,850 ","3,214 ","3,636 ",3 ,14 ,-11 ,11 ,13 ,"2,498 "
北津軽郡,"31,180 ","14,243 ","16,937 ",2 ,56 ,-54 ,58 ,53 ,"12,246 "
板柳町,"11,637 ","5,320 ","6,317 ",1 ,17 ,-16 ,8 ,20 ,"4,416 "
鶴田町,"11,061 ","5,034 ","6,027 ",1 ,14 ,-13 ,26 ,13 ,"4,209 "
中泊町,"8,482 ","3,889 ","4,593 ",0 ,25 ,-25 ,24 ,20 ,"3,621 "
上北郡,"87,910 ","43,153 ","44,757 ",28 ,157 ,-129 ,206 ,218 ,"37,496 "
野辺地町,"11,310 ","5,258 ","6,052 ",2 ,19 ,-17 ,23 ,26 ,"5,263 "
七戸町,"13,371 ","6,410 ","6,961 ",4 ,24 ,-20 ,34 ,16 ,"5,421 "
六戸町,"10,067 ","4,928 ","5,139 ",0 ,28 ,-28 ,21 ,23 ,"4,016 "
横浜町,"3,877 ","1,909 ","1,968 ",1 ,5 ,-4 ,2 ,9 ,"1,830 "
東北町,"15,218 ","7,272 ","7,946 ",5 ,29 ,-24 ,30 ,45 ,"5,818 "
六ヶ所村,"9,889 ","5,766 ","4,123 ",4 ,16 ,-12 ,22 ,39 ,"5,305 "
おいらせ町,"24,178 ","11,610 ","12,568 ",12 ,36 ,-24 ,74 ,60 ,"9,843 "
下北郡,"12,403 ","6,360 ","6,043 ",2 ,25 ,-23 ,25 ,30 ,"5,940 "
大間町,"4,232 ","2,123 ","2,109 ",2 ,13 ,-11 ,8 ,6 ,"2,042 "
東通村,"5,297 ","2,836 ","2,461 ",0 ,7 ,-7 ,13 ,13 ,"2,478 "
風間浦村,"1,391 ",656 ,735 ,0 ,1 ,-1 ,1 ,7 ,687 
佐井村,"1,483 ",745 ,738 ,0 ,4 ,-4 ,3 ,4 ,733 
三戸郡,"57,055 ","27,469 ","29,586 ",12 ,115 ,-103 ,112 ,100 ,"24,051 "
三戸町,"8,100 ","3,809 ","4,291 ",0 ,31 ,-31 ,10 ,19 ,"3,423 "
五戸町,"14,569 ","6,997 ","7,572 ",1 ,24 ,-23 ,30 ,15 ,"5,999 "
田子町,"4,372 ","2,073 ","2,299 ",2 ,11 ,-9 ,6 ,9 ,"1,835 "
南部町,"15,346 ","7,190 ","8,156 ",5 ,34 ,-29 ,23 ,25 ,"6,161 "
階上町,"12,776 ","6,467 ","6,309 ",3 ,11 ,-8 ,43 ,29 ,"5,879 "
新郷村,"1,892 ",933 ,959 ,1 ,4 ,-3 ,0 ,3 ,754 